phase,page_url,image_url,alt_text,alt_present,decorative,width,height,loading,format,local_exists,file_bytes,issues
after,https://typescript.robertdevore.com/lessons/library-design/,https://typescript.robertdevore.com/assets/og/library-design.png,Designing library APIs — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,343423,
after,https://typescript.robertdevore.com/lessons/template-literal-types/,https://typescript.robertdevore.com/assets/og/template-literal-types.png,Template literal types — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,342307,
after,https://typescript.robertdevore.com/lessons/tsconfig/,https://typescript.robertdevore.com/assets/og/tsconfig.png,Configuring TypeScript — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,341968,
after,https://typescript.robertdevore.com/lessons/values-and-types/,https://typescript.robertdevore.com/assets/og/values-and-types.png,JavaScript values & TypeScript types — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,346147,
after,https://typescript.robertdevore.com/lessons/async/,https://typescript.robertdevore.com/assets/og/async.png,Async TypeScript & cancellation — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,343946,
after,https://typescript.robertdevore.com/lessons/setup/,https://typescript.robertdevore.com/assets/og/setup.png,Modern TypeScript setup — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,342147,
after,https://typescript.robertdevore.com/lessons/shipping/,https://typescript.robertdevore.com/assets/og/shipping.png,Shipping & maintaining TypeScript — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,344066,
after,https://typescript.robertdevore.com/lessons/workspaces/,https://typescript.robertdevore.com/assets/og/workspaces.png,Workspaces & project boundaries — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,347072,
after,https://typescript.robertdevore.com/lessons/testing/,https://typescript.robertdevore.com/assets/og/testing.png,Runtime tests & type tests — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,342890,
after,https://typescript.robertdevore.com/lessons/objects-arrays-tuples/,https://typescript.robertdevore.com/assets/og/objects-arrays-tuples.png,"Objects, arrays & tuples — TypeScript Course",True,False,1200,630,not in page viewport,.png,True,345235,
after,https://typescript.robertdevore.com/lessons/architecture/,https://typescript.robertdevore.com/assets/og/architecture.png,Architecture for large TypeScript systems — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,346407,
after,https://typescript.robertdevore.com/lessons/runtime-safety/,https://typescript.robertdevore.com/assets/og/runtime-safety.png,Type safety versus runtime safety — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,344069,
after,https://typescript.robertdevore.com/lessons/structural-typing/,https://typescript.robertdevore.com/assets/og/structural-typing.png,Structural typing & assignability — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,347726,
after,https://typescript.robertdevore.com/lessons/node-application/,https://typescript.robertdevore.com/assets/og/node-application.png,Building a Node.js application — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,345200,
